,age,number_years_at_job,marital_status,num_tickets_purchased,gym_membership_ind,prior_year_spend,prior_year_spend_external,other_streaming_services,is_ticket_purchased,Search_history_percentage,count_other_tickets_purchased,is_R,is_S,is_U,is_grad_college,is_grad_high_school,is_masters_professional,is_no_hs_diploma,is_phd,is_some_college,is_business,is_childcare,is_education,is_finance,is_government,is_healthcare,is_legal,is_marketing,is_none,is_retail,is_service,is_tech,is_SLAMEX,is_locate,is_maincard,is_none,is_passport,is_pursuit,is_Cheezeline,is_DefecTV,is_Fish Network,is_Infinity,is_No_Cable,is_ShrewTube,is_Spectral,is_Suboptimal,is_0,is_2010-2015,is_2015-2018,is_2019+,Index,Conv_prob,ltv_pred,promotion_type
0,44,14,1,9.0,0,26.79,98.26,4,1,0,10,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.8017244445677626,1840.7567434409837,silver
1,31,7,0,25.0,1,0.0,226.93,1,1,0,3,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0.7642508762213295,2508.607625693611,silver
2,28,8,0,0.0,0,15.44,21.84,2,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,2,0.5522238428224394,1277.871371843433,silver
3,61,16,0,6.0,0,11.46,13.11,4,1,17,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,3,0.6245659832089328,1470.060443727486,gold
4,37,8,0,0.0,1,0.0,0.0,5,0,33,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,4,,,none
5,29,7,1,0.0,0,0.0,454.33,2,0,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,5,0.5883831704240938,1456.525066832941,gold
6,63,13,1,3.0,0,0.0,175.34,2,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,6,,,none
7,35,8,1,0.0,1,15.33,44.84,2,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,7,0.5971763366980707,1204.0923567309092,silver
8,63,8,0,3.0,0,42.84,0.0,1,1,0,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,8,,,none
9,46,20,1,4.0,0,41.02,0.47,4,1,33,6,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,9,0.8749713193262675,2874.2239374375276,silver
10,23,1,1,0.0,0,0.0,43.16,2,0,67,3,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,10,0.6762769556322291,2039.234620358368,gold
11,74,18,1,9.0,0,0.0,203.69,5,1,0,10,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,11,0.5241122686796328,1489.6940440234712,gold
12,61,6,1,0.0,0,10.13,153.14,1,0,33,10,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,12,,,none
13,38,11,0,3.0,0,54.7,0.0,1,1,0,7,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,13,,,none
14,46,9,1,0.0,1,1.06,124.87,1,0,17,7,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14,0.5158103259657957,1224.755223125655,silver
15,65,11,1,15.0,1,23.23,64.14,2,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,15,0.6485352712302044,1551.605423611166,gold
16,64,9,1,3.0,1,70.63,124.62,3,1,0,8,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,16,0.78476374561558,2325.0730411260915,silver
17,58,11,1,7.0,1,11.4,175.33,1,1,0,8,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,17,0.5688857932494603,1757.034452394157,gold
18,49,6,0,0.0,0,37.88,48.85,0,0,33,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,18,0.5105467895573667,1250.1108328675211,silver
19,76,18,0,8.0,0,1.41,240.84,3,1,0,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,19,,,none
20,21,1,0,3.0,1,14.63,0.0,1,1,17,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,20,,,none
21,63,9,1,8.0,0,14.32,0.0,6,1,20,10,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,21,,,none
22,42,8,1,0.0,0,2.17,61.96,1,0,0,7,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,22,,,none
23,19,2,0,2.0,0,214.47,38.04,3,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,23,0.9694474809315557,2457.895706412525,bronze
24,33,10,1,0.0,1,0.0,0.0,2,0,20,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,24,,,none
25,52,9,1,0.0,0,6.44,386.11,1,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,25,,,none
26,31,11,1,0.0,0,0.0,60.66,1,0,40,10,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,26,0.5118851742563062,1782.8037544422623,gold
27,26,6,1,1.0,0,82.81,7.82,1,1,0,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,27,0.8648257223125283,2120.2908377195913,silver
28,22,1,1,0.0,0,0.0,14.23,0,0,33,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28,0.6022577039278055,1626.678490867838,gold
29,55,10,1,0.0,0,0.0,33.98,3,0,20,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,29,,,none
30,30,10,1,0.0,1,10.1,144.66,4,0,25,10,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,30,0.6273595456761735,1539.6421663952256,gold
31,60,13,1,14.0,0,0.0,82.87,2,1,25,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,31,0.7686726011091322,2384.378525428913,silver
32,63,14,1,2.0,1,42.48,104.33,2,1,33,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,32,0.7172118474359743,2620.6327063074336,silver
33,30,10,1,5.0,1,0.0,197.36,2,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,33,0.8426539868045311,3442.8279009910966,silver
34,67,7,0,1.0,0,13.73,204.37,1,1,67,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,34,,,none
35,38,11,1,0.0,0,0.0,103.72,1,0,0,10,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,35,0.5406451914671114,1359.2958994944543,silver
36,58,10,1,1.0,0,32.56,564.56,1,1,40,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,36,0.6293246254565277,2955.22255198334,gold
37,21,1,0,5.0,0,30.5,35.28,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,37,0.9033133923131565,2677.9812545940135,bronze
38,23,3,1,0.0,0,1.23,191.35,4,0,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,38,0.6155876910447444,1617.3926436579645,gold
39,58,12,1,0.0,0,67.77,99.96,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,39,,,none
40,40,13,1,3.0,1,67.52,62.69,3,1,33,10,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,40,0.8463365800617595,2569.6031766939336,silver
41,51,13,1,0.0,1,19.22,129.84,5,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,41,,,none
42,38,16,1,0.0,0,9.25,97.08,1,0,0,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,42,,,none
43,26,6,1,5.0,1,19.47,188.61,2,1,50,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,43,0.8914313152939527,3641.560696166136,silver
44,50,14,1,2.0,0,62.63,304.43,3,1,0,10,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,44,0.8137012408329986,2839.2656844500134,silver
